"Game Id","Code","Do you want to see another Scottish independence referendum?","Have recent events changed your view on Scottish independence?","If there was another Scottish independence referendum, how would you vote?","utm_source","utm_medium","utm_term","utm_campaign","Score","Server Time","Date","Time","Browser","Version","Device","IP"
"A8738512-CC5B-2F57-689E-8C06B1CCEBBE",,"Yes","I voted No last time and I�d vote Yes now","Yes","Sailthru","email","Press20and20Journal20-20Newsletter","Referendum20poll20PJ",0,8,"27/06/2016","09:52:43","IE",11,"Desktop","217.205.94.62"
"A83230A7-E23F-56D6-CB26-D8077F3017CF",,"No","I voted No last time and I�d do the same again","No","Sailthru","email","Press20and20Journal20-20Newsletter","Referendum20poll20PJ",0,34,"27/06/2016","09:46:06","BlackBerry Browser",,"Mobile","81.154.160.244"
"9E7FDA6B-F086-EB76-3CA6-926679D6665C",,"Yes","I voted Yes last time and I�d do the same again","Yes","Sailthru","email","Press20and20Journal20-20Newsletter","Referendum20poll20PJ",0,29,"27/06/2016","05:14:53","Chrome",51,"Mobile","151.227.38.109"
"9BACDD67-FB2A-032C-4DFF-26771EF19187",,"Yes","I voted Yes last time and I�d do the same again","Yes","Sailthru","email","Press20and20Journal20-20Newsletter","Referendum20poll20PJ",0,21,"27/06/2016","03:55:54","IE",11,"Desktop","171.96.183.6"
"9BB6CA06-EDF6-6B9E-F904-B86AE6B54BE6",,"Yes","I voted Yes last time and I�d do the same again","Yes","Sailthru","email","Press20and20Journal20-20Newsletter","Referendum20poll20PJ",0,13,"27/06/2016","03:56:35","IE",11,"Desktop","171.96.183.6"
"A9F0A4C3-EBBA-CE88-2DA0-EAAC0D404B78",,"No","I voted No last time and I�d do the same again","No","Sailthru","email","Press20and20Journal20-20Newsletter","Referendum20poll20PJ",0,15,"27/06/2016","10:44:34","Chrome",51,"Desktop","195.234.243.131"
"A5C9AD04-A15E-EEA3-6310-86CB318ACB94",,"No","I voted No last time and I�d do the same again","No","Sailthru","email","Press20and20Journal20-20Newsletter","Referendum20poll20PJ",0,22,"27/06/2016","08:38:34","Chrome",51,"Desktop","212.219.248.132"
"A9039A79-BA0E-F64D-3961-BA937A2F7515",,"Yes","I voted Yes last time and I�d do the same again","Yes","Sailthru","email","Press20and20Journal20-20Newsletter","Referendum20poll20PJ",0,29,"27/06/2016","10:08:55","IE",11,"Desktop","134.132.56.220"
"A86B503F-F202-2248-3358-957FFDB1ED60",,"Yes","I voted No last time and I�d vote Yes now","Yes","Sailthru","email","Press20and20Journal20-20Newsletter","Referendum20poll20PJ",0,23,"27/06/2016","09:52:07","IE",11,"Desktop","217.205.94.62"
"A9C6545A-A956-5B0D-7F1B-0F9C97B8793C",,"No","I voted No last time and I�d do the same again","No","Sailthru","email","Press20and20Journal20-20Newsletter","Referendum20poll20PJ",0,44,"27/06/2016","10:30:42","Safari",7,"Mobile","217.35.241.94"
"AC5DBE3D-0240-AD50-C5B3-D0BB80F78E89",,"No","I voted No last time and I�d do the same again","No","Sailthru","email","Press20and20Journal20-20Newsletter","Referendum20poll20PJ",0,50,"27/06/2016","11:42:54","Chrome",41,"Desktop","78.148.41.10"
"A6C183E2-AEE5-C016-7443-289E00CAB555",,"No","I voted No last time and I�d do the same again","No","Sailthru","email","Press20and20Journal20-20Newsletter","Referendum20poll20PJ",0,33,"27/06/2016","09:06:07","Safari",8,"Mobile","81.154.3.90"
"959600F2-9CEE-6A99-642F-E933C724BD0D",,"No","I voted Yes last time and I�d vote No now","No","Sailthru","email","Press20and20Journal20-20Newsletter","Referendum20poll20PJ",0,43,"27/06/2016","01:05:53","IE",11,"Desktop","86.152.244.91"
"ABD87887-AAFF-351C-CCD7-07EB38CEBDE7",,"No","I voted No last time and I�d do the same again","No","Sailthru","email","Press20and20Journal20-20Newsletter","Referendum20poll20PJ",0,60,"27/06/2016","11:28:31","Firefox",46,"Desktop","92.7.211.28"
